iter	Logloss
0	0.6898046439
1	0.6862200928
2	0.6825194877
3	0.6793199812
4	0.675939549
5	0.6726756069
6	0.6693689837
7	0.6660089983
8	0.6628615025
9	0.6603668213
10	0.6572501918
11	0.6548659842
12	0.6518726894
13	0.6495112828
14	0.6464223807
15	0.643352356
16	0.6408207049
17	0.6380621774
18	0.6356183733
19	0.6330792236
20	0.6307286726
21	0.6282015119
22	0.6258942522
23	0.6230298723
24	0.6209436035
25	0.6184893799
26	0.6161524745
27	0.6138205828
28	0.6113472203
29	0.6094597517
30	0.6072042411
31	0.6050742885
32	0.6029189628
33	0.6003765869
34	0.5979190499
35	0.595992606
36	0.5943322318
37	0.5925742013
38	0.5905000523
39	0.5885415213
40	0.5864337158
41	0.5845501709
42	0.5827675084
43	0.5808868408
44	0.5794791957
45	0.5778729248
46	0.5767071097
47	0.5750319999
48	0.5732502093
49	0.5715182931
50	0.5696228027
51	0.5680712019
52	0.566757115
53	0.5653383092
54	0.5640212577
55	0.5621049282
56	0.5607924979
57	0.5594907488
58	0.5581540353
59	0.5569468471
60	0.555584368
61	0.5547300502
62	0.553606393
63	0.5527734375
64	0.5519818115
65	0.5510276576
66	0.5496673148
67	0.5483374023
68	0.5473294939
69	0.5457683018
70	0.544576852
71	0.5431234305
72	0.5416916765
73	0.5405230713
74	0.5393327114
75	0.5378478132
76	0.5364391218
77	0.5353475516
78	0.5344006784
79	0.5336698696
80	0.532786778
81	0.5316305106
82	0.5303238351
83	0.5294515555
84	0.5279544067
85	0.526920602
86	0.5255863299
87	0.5244814192
88	0.5233466884
89	0.5225714111
90	0.5216790771
91	0.5208175223
92	0.5196517944
93	0.5187030901
94	0.5178380476
95	0.5166318185
96	0.5155348424
97	0.5142735944
98	0.5128662981
99	0.511882455
100	0.5109195818
101	0.5098758371
102	0.5089385114
103	0.5081538609
104	0.5071076311
105	0.5063931274
106	0.5057670375
107	0.5046440778
108	0.5036383493
109	0.5026683698
110	0.5017895072
111	0.5010529872
112	0.5001307896
113	0.4993481445
114	0.4983369664
115	0.4976736886
116	0.4967572021
117	0.4960068185
118	0.4954407174
119	0.4944560896
120	0.4938085066
121	0.493057469
122	0.4923933629
123	0.4913766044
124	0.4905400739
125	0.4896350098
126	0.4887902832
127	0.4879455566
128	0.4870757185
129	0.4862962123
130	0.4855835397
131	0.4849835205
132	0.4845275443
133	0.4837349156
134	0.4831811523
135	0.4825675746
136	0.4818774414
137	0.4811048671
138	0.4805609131
139	0.4796957833
140	0.478982108
141	0.478394601
142	0.4776330566
143	0.4768255615
144	0.4761124093
145	0.4751382882
146	0.4741865322
147	0.47369424
148	0.4729148647
149	0.4723871722
150	0.4717940848
151	0.4709936523
152	0.4701295689
153	0.4693491473
154	0.4688007464
155	0.4683535767
156	0.4677591378
157	0.4667098127
158	0.4661535209
159	0.4653922817
160	0.4648073033
161	0.4641845267
